Estado,Arrecadação Total,Percentual
SP,321455921130.0,45.12
SC,109290436983.0,15.34
PR,60924048366.0,8.55
RJ,53666066901.0,7.53
ES,44572290714.0,6.26
MG,24182436773.0,3.39
RS,22627943715.0,3.18
PE,16661818608.0,2.34
BA,14901468082.0,2.09
AM,12267125557.0,1.72
GO,10952648725.0,1.54
CE,10189249368.0,1.43
MA,1632888249.0,0.23
PA,1616522683.0,0.23
PB,1441683790.0,0.2
AL,1187807741.0,0.17
RO,1044992521.0,0.15
MS,1017763845.0,0.14
DF,905642835.0,0.13
MT,830184299.0,0.12
RN,488163971.0,0.07
PI,230130533.0,0.03
SE,207961272.0,0.03
TO,84962541.0,0.01
AP,54584016.0,0.01
RR,11756556.0,0.0
AC,6351064.0,0.0
